Rank,Title,Authors,Journal,Publication Year,GCS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,CitedPerYear
456,A Simulation of Business Feasibility for Design and Manufacturing SmarT,"Sutopo, W.; Laraswati, L. D.; Ardiansyah, R.; Yuniaristanto; Prija, D. D. D. T.",PROCEEDINGS OF THE 2013 JOINT INTERNATIONAL CONFERENCE ON RURAL INFORMATION & COMMUNICATION TECHNOLOGY AND ELECTRIC-VEHICLE TECHNOLOGY (RICT & ICEV-T),2013,0,0,0,0,0,0,0,0,0,0,0,0.0
457,Meta-organization and manufacturing Web 3.0 for ubiquitous virtual enterprise of manufacturing SMEs: a framework,"Castro, H.; Putnik, G.; Cruz-Cunha, M. M.; Ferreira, L.; Shah, V.; Alves, C.",EIGHTH CIRP CONFERENCE ON INTELLIGENT COMPUTATION IN MANUFACTURING ENGINEERING,2013,0,0,0,0,0,0,0,0,0,0,0,0.0
458,Intelligent Manufacturing Systems: Controlling Elastic Springback in Bending,"Welo, Torgeir","ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: COMPETITIVE MANUFACTURING FOR INNOVATIVE PRODUCTS AND SERVICES, AMPS 2012, PT I",2013,0,0,0,0,0,0,0,0,0,0,0,0.0
459,"Incorporation, Programming and Use of an ABB Robot for the Operations of Palletizing and Despalletizing at an Academic-research Oriented Intelligent Manufacturing Cell","Holubek, Radovan; Sobrino, Daynier Rolando Delgado; Kost'al, Peter; Oravcova, Jarmila",III CENTRAL EUROPEAN CONFERENCE ON LOGISTICS,2013,0,0,0,0,0,0,0,0,0,0,0,0.0
460,A BASIC STUDY ON A HIGHLY DISTRIBUTED SIMULATION OF MANUFACTURING SYSTEMS UNDER THE UBIQUITOUS ENVIRONMENT,"Fujii, Susumu; Fujii, Nobutada; Tsumaya, Akira; Iwamura, Koji; Morinaga, Eiji; Inoue, Tatsuo; Mariyama, Toshisada","PROCEEDINGS OF THE ASME/ISCIE INTERNATIONAL SYMPOSIUM ON FLEXIBLE AUTOMATION, ISFA 2012",2013,0,0,0,0,0,0,0,0,0,0,0,0.0
461,Real time Process Analysis System in Electronic Components Manufacturing,"Suesaowaluk, Poonphon","MECHATRONICS AND INDUSTRIAL INFORMATICS, PTS 1-4",2013,0,0,0,0,0,0,0,0,0,0,0,0.0
462,Development of an Integrated Fibre Bragg Grating Contact Pressure and Temperature Sensor for Composite Smart Manufacturing,"Maurin, L.; Ferdinand, P.; Robert, L.; Orteu, J. -J.","STRUCTURAL HEALTH MONITORING 2011: CONDITION-BASED MAINTENANCE AND INTELLIGENT STRUCTURES, VOL 2",2013,0,0,0,0,0,0,0,0,0,0,0,0.0
463,Research on Remote Monitoring Technology for Intelligent Flexible Manufacturing Cell,Li Jing; Shao Jingfeng; Shen Nanyan; Xu Ting,"MEASUREMENT TECHNOLOGY AND ENGINEERING RESEARCHES IN INDUSTRY, PTS 1-3",2013,0,0,0,0,0,0,0,0,0,0,0,0.0
464,Intelligent System for Inspection and Selection of Parts in a Manufacturing Cell,"Gonzalez Islas, J. C.; Cano Tejeda, D. de J.; Suarez Cansino, J.; Lopez Morales, V.","2013 XXIV INTERNATIONAL SYMPOSIUM ON INFORMATION, COMMUNICATION AND AUTOMATION TECHNOLOGIES (ICAT)",2013,0,0,0,0,0,0,0,0,0,0,0,0.0
465,Intelligent Micro-Precision Irrigation System for Cultured Moss Mat Production in Plant Factory,"Hendrawan, Y.; Murase, H.",II ASIA PACIFIC SYMPOSIUM ON POSTHARVEST RESEARCH EDUCATION AND EXTENSION (APS2012),2013,0,0,0,0,0,0,0,0,0,0,0,0.0
466,Adaptive MIMO RF Systems: Post-Manufacture and Real-Time Tuning for Performance Maximization and Power Minimization,"Banerjee, Debashis; Banerjee, Aritra; Devarakond, Shyam; Chatterjee, Abhijit",2013 IEEE 56TH INTERNATIONAL MIDWEST SYMPOSIUM ON CIRCUITS AND SYSTEMS (MWSCAS),2013,0,0,0,0,0,0,0,0,0,0,0,0.0
467,Intelligent Manufacturing System for OTR Tyres using Proactive Control,"Sadhu, Pradip Kumar","INTERNATIONAL MULTICONFERENCE OF ENGINEERS AND COMPUTER SCIENTIST, IMECS 2012, VOL II",2012,0,0,0,0,0,0,0,0,0,0,0,0.0
468,ON THE DESIGN AND ANALYSIS OF THE MATERIAL FLOW AT AN INTELLIGENT MANUFACTURING CELL: BENEFITS OF THE USE OF SIMULATION,"Sorrino, Daynier Rolando Delgado; Kostal, Peter; Holubek, Radovan","MACHINE AND INDUSTRIAL DESIGN IN MECHANICAL ENGINEERING, SEVENTH INTERNATIONAL SYMPOSIUM, KOD 2012",2012,0,0,0,0,0,0,0,0,0,0,0,0.0
469,Integrating Intelligent Robot Services in Holonic Manufacturing,"Anton, Florin Daniel; Borangiu, Theodor; Anton, Silvia; Ceccarelli, Marco; Carbone, Giuseppe",SERVICE ORIENTATION IN HOLONIC AND MULTI-AGENT MANUFACTURING CONTROL,2012,0,0,0,0,0,0,0,0,0,0,0,0.0
470,DISTRIBUTED INTELLIGENT AGENTS IN THE HOLONIC CONTROL OF ADAPTIVE INDUSTRIAL MANUFACTURING SYSTEMS,"Popa, Ilie",CHANGE MANAGEMENT IN A DYNAMIC ENVIRONMENT,2011,0,0,0,0,0,0,0,0,0,0,0,0.0
471,Agent-Based Smart Objects Management System for Real-Time Wireless Manufacturing,"Zhang, Yingfeng; Huang, George; Qu, T.; Ho, Oscar",PROCEEDINGS OF THE 6TH CIRP-SPONSORED INTERNATIONAL CONFERENCE ON DIGITAL ENTERPRISE TECHNOLOGY,2010,0,0,0,0,0,0,0,0,0,0,0,0.0
472,Intelligent Camera System at the Workplace of Intelligent Assembly-Manufacturing Cell,"Danisova, Nina; Velisek, Karol; Horvath, Stefan","IMCIC 2010: INTERNATIONAL MULTI-CONFERENCE ON COMPLEXITY, INFORMATICS AND CYBERNETICS, VOL II",2010,0,0,0,0,0,0,0,0,0,0,0,0.0
473,Intelligent Travel Route Planning for Bridge Crane Type of Material Handling Equipment in Cellular Manufacturing,"Xing, Bo; Gao, Wen-Ling; Battle, Kimberly; Marwala, Tshilidzi; Nelwamondo, Fulufhelo V.","IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN AND CYBERNETICS (SMC 2010)",2010,0,0,0,0,0,0,0,0,0,0,0,0.0
474,Ant Stigmergy Shop Floor Control Architecture for Intelligent Product Oriented Manufacturing System,"Xing, Bo; Gao, Wen-Jing; Battle, Kimberly; Marwala, Tshilidzi; Nelwamondo, Fulufhelo V.","IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN AND CYBERNETICS (SMC 2010)",2010,0,0,0,0,0,0,0,0,0,0,0,0.0
475,Active Service Using Acquaintance Nodes in Intelligent Manufacturing Environments,"Wang, R.",ADVANCES IN FUNCTIONAL MANUFACTURING TECHNOLOGIES,2010,0,0,0,0,0,0,0,0,0,0,0,0.0
476,Autonomous Intelligent System for Supply Chain Management on Mass Customization Manufacture,"Dai, Weihui","ADVANCED MECHANICAL ENGINEERING, PTS 1 AND 2",2010,0,0,0,0,0,0,0,0,0,0,0,0.0
477,Integrated Intelligent Systems of Non-Destructive - Testing Pledge of Quality of Manufacture of Welded Tubes for the Main Pipelines,"Tkachenko, A.","2ND INTERNATIONAL CONFERENCE ON INNOVATIONS, RECENT TRENDS AND CHALLENGES IN MECHATRONICS, MECHANICAL ENGINEERING AND NEW HIGH-TECH PRODUCTS DEVELOPMENT (MECAHITECH '10)",2010,0,0,0,0,0,0,0,0,0,0,0,0.0
478,Pheromone based self-routing of intelligent products in dynamic manufacturing system,"Shi, Ke; Chen, Xinmiao; Qin, Xuan","2010 THE 3RD INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND INDUSTRIAL APPLICATION (PACIIA2010), VOL V",2010,0,0,0,0,0,0,0,0,0,0,0,0.0
479,Wireless MEMS Sensor Network Based Intelligent Diagnosis System for Manufacturing System,"Huang, Chung-Chi; Chen, Shang-Liang; Lai, Chien-Chih",JOURNAL OF THE CHINESE SOCIETY OF MECHANICAL ENGINEERS,2010,0,0,0,0,0,0,0,0,0,0,0,0.0
480,Energy Based Efficient Resources for Real Time Manufacturing Systems,"Ghani, Usman; Monfared, Radmehr; Harrison, Robert","WORLD CONGRESS ON ENGINEERING, WCE 2011, VOL I",2011,0,0,0,0,0,0,0,0,0,0,0,0.0
481,RETRACTED: Intelligent Manufacturing system based on machining features and its application (Retracted Article),Ouyang Hua-bing; Shen Bin,2011 INTERNATIONAL CONFERENCE ON ENERGY AND ENVIRONMENTAL SCIENCE-ICEES 2011,2011,0,0,0,0,0,0,0,0,0,0,0,0.0
482,An Intelligent Approach To Develop Fault Detection and Classification in Photolithography Process of Semiconductor Manufacturing,"Liu, Shu-Fan; Chueh, Hao-En; Liao, Kuo-Hsiung; Chen, Fei-Long",INFORMATION-AN INTERNATIONAL INTERDISCIPLINARY JOURNAL,2011,0,0,0,0,0,0,0,0,0,0,0,0.0
483,Probabilistic feasibility assessment of real-time wireless networks for factory automation with mobile nodes,"Toscano, Emanuele; Lo Bello, Lucia",2011 IEEE 16TH CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA),2011,0,0,0,0,0,0,0,0,0,0,0,0.0
484,The design of Real-time Distributed Arrival Time Control System in a cell manufacturing,"Gao, Bin; Gong, Jun; Li, Qian; Tang, Jiafu","2011 CHINESE CONTROL AND DECISION CONFERENCE, VOLS 1-6",2011,0,0,0,0,0,0,0,0,0,0,0,0.0
485,REAL TIME DISPATCHING - A CATALYST TO ASSEMBLY TEST MANUFACTURING EXECUTION AUTOMATION,"Iyer, Bala; Dash, Binay",PROCEEDINGS OF THE 2011 WINTER SIMULATION CONFERENCE (WSC),2011,0,0,0,0,0,0,0,0,0,0,0,0.0
486,Research on reusable and sharing manufacturing resource based on command intelligent multi-agent,"Shang, Xin; Liu, Jing; Yin, Guofu","MATERIALS PROCESSING TECHNOLOGY, PTS 1-4",2011,0,0,0,0,0,0,0,0,0,0,0,0.0
487,The study on RFID middleware for real-time monitoring in manufacturing,"Fu, Yingbin; Jiang, Pingyu; Li, Yong","ADVANCED MANUFACTURING TECHNOLOGY, PTS 1-3",2011,0,0,0,0,0,0,0,0,0,0,0,0.0
488,System Design of Apparel's Pattern Knowledge Database Oriented towards Intelligent Manufacture,"Yin, Jun-Wei; Chen, Jian-Ming; Shang, Xiao-Mei; Tang, Lin","TEXTILE BIOENGINEERING AND INFORMATICS SYMPOSIUM PROCEEDINGS, VOLS 1-3",2011,0,0,0,0,0,0,0,0,0,0,0,0.0
489,Ontology-Based Knowledge Navigation Platform for Intelligent Manufacturing,"Fujiwara, Reiko; Kitamura, Akira; Mutoh, Kouji","KNOWLEDGE-BASED AND INTELLIGENT INFORMATION AND ENGINEERING SYSTEMS, PT II: 15TH INTERNATIONAL CONFERENCE, KES 2011",2011,0,0,0,0,0,0,0,0,0,0,0,0.0
490,Study on Intelligent Manufacturing System Model of Iron & Steel Enterprises in Ubiquitous Information Environment,"Liu, Jun Wei; Kong, Jian Yi; Zhou, Min; Wang, Xing Dong; Xiong, He Gen; Li, Gong Fa","MECHATRONICS AND MATERIALS PROCESSING I, PTS 1-3",2011,0,0,0,0,0,0,0,0,0,0,0,0.0
491,A Study on Intelligent Network Manufacturing Model based on Cloud Computing,Chen Zhu-min,INNOVATION MANUFACTURING AND ENGINEERING MANAGEMENT,2011,0,0,0,0,0,0,0,0,0,0,0,0.0
492,Intelligent Manufacturing System of Product Life Cycle Management in Value Engineering,"Lin, Wen-Tsann; Wang, Shen-Tsu; Li, Meng-Hua; Huang, Jiung-Ming","ADVANCED RESEARCH ON MECHANICAL ENGINEERING, INDUSTRY AND MANUFACTURING ENGINEERING, PTS 1 AND 2",2011,0,0,0,0,0,0,0,0,0,0,0,0.0
493,Research and Application of Machine Vision in Intelligent Manufacturing,"Fu, Li; Zhang, Yuanhang; Huang, Quanjun; Chen, Xinyu",PROCEEDINGS OF THE 28TH CHINESE CONTROL AND DECISION CONFERENCE (2016 CCDC),2016,0,0,0,0,0,0,0,0,0,0,0,0.0
494,Collaborative manufacturing execution systems: Using real-time information to support lean production,"Chai, Yongsheng; Zhou, Yulan; Wang, Yantao","PROCEEDINGS OF THE 2008 12TH INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN, VOLS I AND II",2008,0,0,0,0,0,0,0,0,0,0,0,0.0
495,Smart Factory and Education,"Kurth, Marcus; Schleyer, Carsten; Feuser, Daniel",PROCEEDINGS OF THE 2016 IEEE 11TH CONFERENCE ON INDUSTRIAL ELECTRONICS AND APPLICATIONS (ICIEA),2016,0,0,0,0,0,0,0,0,0,0,0,0.0
496,A model-based approach to refine process parameters in smart manufacturing,"Kim, Duck B.; Denno, Peter O.; Jones, Albert T.",CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
497,Optimal path in an intelligent AGV-based manufacturing system,"Fazlollahtabar, H.; Saidi-Mehrabad, M.",TRANSPORTATION LETTERS-THE INTERNATIONAL JOURNAL OF TRANSPORTATION RESEARCH,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
498,Smart Solution for Smart Factory,"Hajrizi, E.",IFAC PAPERSONLINE,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
499,Evaluation of a PMML-Based GPR Scoring Engine on a Cloud Platform and Microcomputer Board for Smart Manufacturing,"Ferguson, Max; Law, Kincho H.; Bhinge, Raunak; Dornfeld, David; Park, Jinkyoo; Lee, Yung-Tsun Tina",2016 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),2016,0,0,0,0,0,0,0,0,0,0,0,0.0
500,Application of Internet of Things (IoT) for Smart Process Manufacturing in Indian Packaging Industry,"Ramakrishnan, Ravi; Gaur, Loveleen","INFORMATION SYSTEMS DESIGN AND INTELLIGENT APPLICATIONS, VOL 3, INDIA 2016",2016,0,0,0,0,0,0,0,0,0,0,0,0.0
501,Decisional DNA Based Conceptual Framework for Smart Manufacturing,"Shafiq, Syed Imran; Sanin, Cesar; Szczerbicki, Edward; Toro, Carlos","INFORMATION SYSTEMS ARCHITECTURE AND TECHNOLOGY, ISAT 2015, PT I",2016,0,0,0,0,0,0,0,0,0,0,0,0.0
502,Ergonomic analysis in manufacturing process. A real time approach,"Del Fabbro, Enrico; Santarossa, Daria",RESEARCH AND INNOVATION IN MANUFACTURING: KEY ENABLING TECHNOLOGIES FOR THE FACTORIES OF THE FUTURE - PROCEEDINGS OF THE 48TH CIRP CONFERENCE ON MANUFACTURING SYSTEMS,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
503,Real-Time Visibility and Traceability Framework for Discrete Manufacturing Shopfloor,"Wang, T.; Zhang, Y. F.; Zang, D. X.",PROCEEDINGS OF THE 22ND INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT: CORE THEORY AND APPLICATIONS OF INDUSTRIAL ENGINEERING (VOL 1),2016,0,0,0,0,0,0,0,0,0,0,0,0.0
504,An Overview of a Smart Manufacturing System Readiness Assessment,"Jung, Kiwook; Kulvatunyou, Boonserm; Choi, Sangsu; Brundage, Michael P.",ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: INITIATIVES FOR A SUSTAINABLE WORLD,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
505,Intelligent Semantic Query for Manufacturing Supply Chain,"Saeidlou, Salman; Saadat, Mozafar; Amini Sharifi, Ebrahim",ADVANCES IN MANUFACTURING TECHNOLOGY XXX,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
506,Wait-Time-Waste improvement opportunities and 'smart manufacturing' in legacy 200mm fabs,"Driessen, Jan; Sjardijn, Rene; van Heukelom, Frank; van Roest, Corstian; Mom, Martijn",2016 27TH ANNUAL SEMI ADVANCED SEMICONDUCTOR MANUFACTURING CONFERENCE (ASMC),2016,0,0,0,0,0,0,0,0,0,0,0,0.0
507,Construction of Intelligent Manufacturing Workshop Based on Lean Management,"Gao, Qing; Shi, Rongbo; Wang, Gang",9TH INTERNATIONAL CONFERENCE ON DIGITAL ENTERPRISE TECHNOLOGY - INTELLIGENT MANUFACTURING IN THE KNOWLEDGE ECONOMY ERA,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
508,Study on Ubiquitous Robotic Systems for Smart Manufacturing Program,"Cao, Qixin; Wang, Wenshan; Zhu, Xiaoxiao; Leng, Chuntao; Adachi, Masaru",2016 IEEE WORKSHOP ON ADVANCED ROBOTICS AND ITS SOCIAL IMPACTS (ARSO),2016,0,0,0,0,0,0,0,0,0,0,0,0.0
509,Human-Machine Cooperation to design Intelligent Manufacturing Systems,"Pacaux-Lemoine, M-Pierre; Trentesaux, Damien; Zambrano Rey, Gabriel",PROCEEDINGS OF THE IECON 2016 - 42ND ANNUAL CONFERENCE OF THE IEEE INDUSTRIAL ELECTRONICS SOCIETY,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
510,Software-based smart factory networking,"Bauer, Robert; Bless, Roland; Haas, Christian; Jung, Markus; Zitterbart, Martina",AT-AUTOMATISIERUNGSTECHNIK,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
511,Robust and Real-time Teaching of Industrial Robots for Mass Customisation Manufacturing Using Stereoscopic Vision,"Malheiros, Paulo; Costa, Paulo; Moreira, Antonio Paulo; Ferreira, Marcos","IECON: 2009 35TH ANNUAL CONFERENCE OF IEEE INDUSTRIAL ELECTRONICS, VOLS 1-6",2009,0,0,0,0,0,0,0,0,0,0,0,0.0
512,"Implementing a Real-Time, Energy-Efficient Control Methodology to Maximize Manufacturing Profits","Brundage, Michael P.; Chang, Qing; Li, Yang; Arinez, Jorge; Xiao, Guoxian",IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
513,Development of Innovative Strategies for the Korean Manufacturing Industry by Use of the Connected Smart Factory (CSF),"Park, Sungbum",PROMOTING BUSINESS ANALYTICS AND QUANTITATIVE MANAGEMENT OF TECHNOLOGY: 4TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT (ITQM 2016),2016,0,0,0,0,0,0,0,0,0,0,0,0.0
514,Design and Instantiation of a Modular System Architecture for Smart Factories,"Gorecky, Dominic; Weyer, Stephan; Hennecke, Andre; Zuehlke, Detlef",IFAC PAPERSONLINE,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
515,High Precision Optical Sensors for Real-Time On-line Measurement of Straightness and Angular Errors for Smart Manufacturing,"Lee, Hau-Wei; Liu, Chien-Hung",SMART SCIENCE,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
516,Intelligent Thermal Control of Resistance Welding of Fiberglass Laminates for Automated Manufacturing,"Zammar, Imad Ali; Mantegh, Iraj; Huq, M. Saiful; Yousefpour, Ali; Ahmadi, Mojtaba",IEEE-ASME TRANSACTIONS ON MECHATRONICS,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
517,Real-Time Monitoring and Control of Critical Process Impurities during the Manufacture of Fostamatinib Disodium,"Hart, Richard; Herring, Adam; Howell, Gareth P.; McKeever-Abbas, Ben; Pedge, Nicholas; Woodward, Robert",ORGANIC PROCESS RESEARCH & DEVELOPMENT,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
518,Towards a Condition-Monitoring Framework for Quality Assurance in Intelligent Multistage Manufacturing Environment,"Bakker, O. J.; Ratchev, S. M.; Popov, A. A.",IFAC PAPERSONLINE,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
519,Building a Rigorous Foundation for Performance Assurance Assessment Techniques for Smart Manufacturing Systems,"Roy, Utpal; Li, Yunpeng; Zhu, Bicheng",2014 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),2014,0,0,0,0,0,0,0,0,0,0,0,0.0
520,MANUFACTURING GETS SMART,"Brown, Alan S.",MECHANICAL ENGINEERING,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
521,Cloud Manufacturing Framework for Smart Monitoring of Machining,"Caggiano, Alessandra; Segreto, Tiziana; Teti, Roberto",5TH CIRP GLOBAL WEB CONFERENCE - RESEARCH AND INNOVATION FOR FUTURE PRODUCTION (CIRPE 2016),2016,0,0,0,0,0,0,0,0,0,0,0,0.0
522,Engineering the Smart Factory,"Harrison, Robert; Vera, Daniel; Ahmad, Bilal",CHINESE JOURNAL OF MECHANICAL ENGINEERING,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
523,Effective Service Dynamic Packages for Ubiquitous Manufacturing System,"Putnik, Goran D.; Ferreira, Luis; Shah, Vaibhav; Putnik, Zlata; Castro, Helio; Cruz-Cunha, Maria Manuela; Varela, Maria Leonilde R.","VIRTUAL AND NETWORKED ORGANIZATIONS, EMERGENT TECHNOLOGIES, AND TOOLS",2012,0,0,0,0,0,0,0,0,0,0,0,0.0
524,An Analysis of Technologies and Standards for Designing Smart Manufacturing Systems,"Choi, SangSu; Jung, Kiwook; Kulvatunyou, Boonserm; Morris, K. C.",JOURNAL OF RESEARCH OF THE NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
525,Towards Programmable Fog Nodes in Smart Factories,"de Brito, Mathias Santos; Hoque, Saiful; Steinke, Ronald; Willner, Alexander",2016 IEEE 1ST INTERNATIONAL WORKSHOPS ON FOUNDATIONS AND APPLICATIONS OF SELF* SYSTEMS (FAS*W),2016,0,0,0,0,0,0,0,0,0,0,0,0.0
526,Simulation Game for Intelligent Production Logistics - The PuLL (R) Learning Factory,"Bloechl, Stefan J.; Schneider, Markus",6TH CIRP CONFERENCE ON LEARNING FACTORIES,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
527,A Comprehensive Approach to Off-line Advanced Error Troubleshooting in Intelligent Manufacturing Systems,"Csokmai, L. S.; Tarca, R. C.; Bungau, C.; Husi, G.",INTERNATIONAL JOURNAL OF COMPUTERS COMMUNICATIONS & CONTROL,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
528,Multi-spot laser lock-in thermography for real-time imaging of cracks in semiconductor chips during a manufacturing process,"Yang, Jinyeol; Hwang, Soonkyu; An, Yun-Kyu; Lee, Kyuhang; Sohn, Hoon",JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
529,Smart tracking to enable disturbance tolerant manufacturing through enhanced product intelligence,"Um, Jumyung; Srinivasan, Rengarajan; Thorne, Alan; McFarlane, Duncan",PROCEEDINGS 2015 IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL INFORMATICS (INDIN),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
530,Performance Prediction of a MongoDB-Based Traceability System in Smart Factory Supply Chains,"Kang, Yong-Shin; Park, Il-Ha; Youm, Sekyoung",SENSORS,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
531,"Brainy Bird Chickens are smart, and they understand then: world, which raises troubling questions about how they are treated on factory farms.","Smith, Carolynn lynn.; Zielinski, Sarah L.",SCIENTIFIC AMERICAN,2014,0,0,0,0,0,0,0,0,0,0,0,0.0
532,Transfer of Model of Innovative Smart Factory to Croatian Economy using Lean Learning Factory,"Gjeldum, Nikola; Mladineo, Marko; Veza, Ivica",6TH CIRP CONFERENCE ON LEARNING FACTORIES,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
533,MaXCept - Decision Support in Exception Handling through Unstructured Data Integration in the Production Context. An Integral Part of the Smart Factory.,"Kassner, Laura Bernadette; Mitschang, Bernhard",2015 48TH HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES (HICSS),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
534,Real-Time Information Base as key enabler for Manufacturing Intelligence and Industrie 4.0 Building the bridge between real Real-time Exploitation and Big Data via mathematically grounded Information Fundamentals,"Luhn, Gerhard; Habich, Dirk; Bartl, Katrin; Postel, Johannes; Stevens, Travis; Zinner, Martin",2015 26TH ANNUAL SEMI ADVANCED SEMICONDUCTOR MANUFACTURING CONFERENCE (ASMC),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
535,Performance Assessment and Uncertainty Quantification of Predictive Models for Smart Manufacturing Systems,"Oneto, Luca; Orlandi, Ilenia; Anguita, Davide",PROCEEDINGS 2015 IEEE INTERNATIONAL CONFERENCE ON BIG DATA,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
536,Analysis and Optimization in Smart Manufacturing based on a Reusable Knowledge Base for Process Performance Models,"Brodsky, Alexander; Shao, Guodong; Krishnamoorthy, Mohan; Narayanan, Anantha; Menasce, Daniel; Ak, Ronay",PROCEEDINGS 2015 IEEE INTERNATIONAL CONFERENCE ON BIG DATA,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
537,The S-Model: a Digital Manufacturing System combined with Autonomous Statistical Analysis and Autonomous Discrete-event Simulation for Smart Manufacturing,"Nonaka, Y.; Suginishi, Y.; Lengyel, A.; Nagahara, S.; Kamoda, K.; Katsumura, Y.",2015 INTERNATIONAL CONFERENCE ON AUTOMATION SCIENCE AND ENGINEERING (CASE),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
538,Intelligent search techniques for network-based manufacturing systems: multi-objective formulation and solutions,"Manupati, V. K.; Chang, P. C.; Tiwari, M. K.",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
539,Cloud Service-Oriented Dashboard for Work Cell Management in RFID-enabled Ubiquitous Manufacturing,"Cheng, Meng; Zhong, Ray Y.; Li, Yuanyuan; Luo, Hao; Lan, Shulin; Huang, George Q.","2013 10TH IEEE INTERNATIONAL CONFERENCE ON NETWORKING, SENSING AND CONTROL (ICNSC)",2013,0,0,0,0,0,0,0,0,0,0,0,0.0
540,Joint controller-device design in energy-harvesting networks for the factory of things,"Wen, Zhigang; Liu, Xiaoqing; Fan, Yang; Zou, Junwei; Li, Shan",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
541,Design S-3-RF (Sustainable x Smart x Sensing - Reference Framework) for the Future Manufacturing Enterprise,"Mauricio-Moreno, H.; Miranda, J.; Chavarria, D.; Ramirez-Cadena, M.; Molina, A.",IFAC PAPERSONLINE,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
542,An intelligent factory-wide optimal operation system for continuous production process,"Ding, Jinliang; Chai, Tianyou; Wang, Hongfeng; Wang, Junwei; Zheng, Xiuping",ENTERPRISE INFORMATION SYSTEMS,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
543,Active Energy Saving Strategy for Sensible Manufacturing Systems Operation Based on Real Time Production Status,"Wang, J. F.; Xue, J.; Feng, Y.; Li, S. Q.; Fu, Y.; Chang, Q.",2016 IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT (IEEM),2016,0,0,0,0,0,0,0,0,0,0,0,0.0
544,A seamless convergence of the digital and physical factory aiming in personalized Product Emergence Process (PPEP) for smart products within ESB Logistics Learning Factory at Reutlingen University.,"Brenner, Beate; Hummel, Vera",6TH CIRP CONFERENCE ON LEARNING FACTORIES,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
545,Manufacturing Networks Design through Smart Decision Making towards Frugal Innovation,"Mourtzis, D.; Vlachou, E.; Boli, N.; Gravias, L.; Giannoulis, C.",26TH CIRP DESIGN CONFERENCE,2016,0,0,0,0,0,0,0,0,0,0,0,0.0
